1d,7d
47073.0731,48896.2069
47249.6301,48926.29
47369.0773,49165.2957
47658.941,49703.0074
47660.5668,49412.9747
47605.1895,49310.6796
47537.5814,49663.2315
44416.4169,47928.5161
42522.6172,45955.1382
42108.6394,44424.1306
41639.0663,43421.4605
41830.5778,43881.382
40455.4426,43145.5042
40315.9229,42706.413
39059.5814,42419.4077
39789.2051,42526.0475
39627.3366,42648.1027
39651.5377,43319.7147
40559.1758,45074.1427
40714.0958,46090.2403
42095.3685,47316.7869
42956.7728,48047.2215
44536.0286,47656.3535
45648.1828,48263.9251
46202.7599,48225.7633
45544.4971,48457.9213
45283.6279,48671.901
45158.5172,48548.9052
44996.8639,48825.1604
45037.9546,49196.5009
45260.4795,48990.5427
42420.8457,47280.3095
40573.1914,45929.6306
39944.5708,45401.6244
39592.1782,43839.9002
39026.4009,44149.4794
37967.2718,43619.002
37796.9581,43323.6855
36784.3642,43125.0625
37144.165,43811.5129
37555.559,43696.8942
38262.4532,43344.8826
39014.0899,44313.7963
39593.6647,45045.5595
40955.3067,46375.9269
41047.4783,47420.1435
42529.2246,46915.6203
42823.253,47789.006
43252.1991,46675.8239
43393.7818,47269.2181
43562.7903,47609.2225
43808.3124,47616.3793
44023.6835,47632.4385
43878.7851,47371.4829
44393.7225,47630.9992
42038.4705,47091.1674
41281.231,46632.2506
40877.6785,45962.3842
39877.0881,45193.2274
40204.2267,44906.979
38849.3576,43475.3134
38719.6211,42387.1138
38218.898,42222.128
37885.2274,41848.3771
37569.7565,40961.0592
38294.8561,41242.9917
39055.2818,41323.2471
39153.5418,42012.3896
39767.2716,42975.5542
40380.8791,42942.3619
41692.4363,43997.6523
42521.6691,45079.8722
42706.5797,45455.9235
42672.0739,45264.3452
42939.9802,45580.8494
43364.1655,45885.1824
43396.1336,46376.9004
42965.2321,46339.5511
42766.4559,46149.7684
42442.2148,45898.06
42272.4124,45614.5213
41827.3651,45136.6841
42004.7734,44264.7847
41361.7114,44291.1603
40376.3423,43238.2451
39980.3219,43221.8899
38987.8166,42668.9801
39074.3603,42133.6578
38491.3111,42334.2506
38263.7796,42083.4818
37971.4847,42680.5345
38269.0344,43480.6319
39178.5175,44125.5792
39582.5744,45025.9702
41326.6939,45888.2034
42200.0399,46113.9454
42364.2888,46318.2425
42240.9693,46293.8895
42522.88,46472.809
42744.598,46695.2094
43031.3154,46746.6729
42823.4244,46836.0121
42839.9808,47343.3009
42848.1786,45057.4138
42761.8912,43439.6716
42450.459,42381.2354
42249.8076,41523.1428
42430.3924,41535.1513
41107.0265,40996.2368
40631.5765,40528.4988
39787.0679,39924.1607
39502.486,39866.6378
39371.323,39535.2605
39553.0533,39852.9672
40329.8192,40598.288
40470.3555,41812.1242
41223.6486,42899.6144
41690.6941,44581.4912
43045.904,45594.2704
43630.2979,46130.6997
43816.08,44489.6405
43921.8398,43763.1229
44126.6617,45417.2782
44334.5479,44034.3391
44297.4442,44158.5867
44317.4515,44238.4977
44841.5894,45314.8939
42195.6748,43169.6025
40727.6021,42853.8896
39560.6951,41718.7986
39110.8787,41256.4243
39154.3557,40430.2249
38436.2412,39310.7177
37774.4814,38871.5534
37521.4825,38153.7382
37145.4447,38058.9768
37292.7422,37757.1369
37396.9103,38406.2445
38665.005,40009.6705
