,연도,월,요일,노선명,전염병,승하차총승객수
1412,2015,9,7,4,1,4704756.0
1413,2015,9,7,5,1,4561288.0
1414,2015,9,7,6,1,2703696.0
1415,2015,9,7,7,1,5637287.0
1416,2015,9,7,8,1,1272800.0
1417,2015,9,7,9,1,1984231.0
1432,2015,10,1,1,1,1561063.0
1433,2015,10,1,2,1,7927673.0
1434,2015,10,1,3,1,2922518.0
1435,2015,10,1,4,1,3332490.0
1436,2015,10,1,5,1,2955089.0
1437,2015,10,1,6,1,2025300.0
1438,2015,10,1,7,1,3746423.0
1439,2015,10,1,8,1,881847.0
1440,2015,10,1,9,1,1299625.0
1455,2015,10,2,1,1,2750008.0
1456,2015,10,2,2,1,13965909.0
1457,2015,10,2,3,1,5198631.0
1458,2015,10,2,4,1,5884716.0
1459,2015,10,2,5,1,5284860.0
1460,2015,10,2,6,1,3490649.0
1461,2015,10,2,7,1,6243131.0
1462,2015,10,2,8,1,1466345.0
1463,2015,10,2,9,1,2350256.0
1478,2015,10,3,1,1,3171210.0
1479,2015,10,3,2,1,17283116.0
1480,2015,10,3,3,1,6240026.0
1481,2015,10,3,4,1,6938029.0
1482,2015,10,3,5,1,6568860.0
1483,2015,10,3,6,1,4083861.0
1484,2015,10,3,7,1,7894621.0
1485,2015,10,3,8,1,1836364.0
1486,2015,10,3,9,1,2890707.0
1501,2015,10,4,1,1,3092498.0
1502,2015,10,4,2,1,17611637.0
1503,2015,10,4,3,1,6254303.0
1504,2015,10,4,4,1,6912409.0
1505,2015,10,4,5,1,6767032.0
1506,2015,10,4,6,1,3985907.0
1507,2015,10,4,7,1,8212757.0
1508,2015,10,4,8,1,1875138.0
1509,2015,10,4,9,1,2953572.0
1524,2015,10,5,1,1,2492583.0
1525,2015,10,5,2,1,14120154.0
1526,2015,10,5,3,1,5015222.0
1527,2015,10,5,4,1,5595847.0
1528,2015,10,5,5,1,5485050.0
1529,2015,10,5,6,1,3230666.0
1530,2015,10,5,7,1,6630794.0
